Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkNWeight,2023-04-05,09:22:07,163192411,92.276,1768524,884262,120m,14,7,10g,8,2,16g,lz4,52k,20k,122k,4m,0.6,0.5,62m,org.apache.spark.serializer.KryoSerializer,20k,0.7,600,0.3,290m,0.8
ScalaSparkNWeight,2023-04-05,09:29:34,163192411,92.052,1772828,886414,14m,6,7,15g,4,4,8g,lz4,128k,78k,88k,48m,0.4,0.5,26m,org.apache.spark.serializer.JavaSerializer,66k,0.2,350,0.6,54m,0.6
ScalaSparkNWeight,2023-04-05,09:43:29,163192411,100.236,1628081,814040,6m,6,5,6g,2,8,4g,snappy,10k,118k,114k,72m,0.6,0.1,98m,org.apache.spark.serializer.KryoSerializer,46k,0.4,100,0.1,58m,0.2
ScalaSparkNWeight,2023-04-05,09:52:12,163192411,120.741,1351590,675795,8m,16,2,11g,2,8,4g,lzf,124k,106k,116k,68m,0.2,0.6,36m,org.apache.spark.serializer.KryoSerializer,110k,0.4,400,0.4,464m,0.1
ScalaSparkNWeight,2023-04-05,10:00:01,163192411,99.219,1644769,822384,110m,8,7,9g,4,4,8g,lzf,40k,96k,94k,96m,0.4,0.7,122m,org.apache.spark.serializer.KryoSerializer,64k,0.6,450,0.2,282m,0.1
ScalaSparkNWeight,2023-04-05,10:09:36,163192411,106.362,1534311,767155,112m,2,1,10g,2,8,4g,snappy,66k,82k,50k,124m,0.4,0.6,16m,org.apache.spark.serializer.KryoSerializer,76k,0.1,300,0.8,126m,0.8
ScalaSparkNWeight,2023-04-05,10:17:08,163192411,95.665,1705873,852936,42m,14,7,14g,8,2,16g,snappy,100k,12k,92k,60m,0.6,0.9,86m,org.apache.spark.serializer.KryoSerializer,16k,0.3,150,0.7,252m,0.3
ScalaSparkNWeight,2023-04-05,10:29:50,163192411,241.421,675966,337983,22m,16,5,13g,2,8,4g,lzf,84k,104k,54k,124m,0.1,0.1,34m,org.apache.spark.serializer.KryoSerializer,8k,0.5,150,0.3,366m,0.1
ScalaSparkNWeight,2023-04-05,10:41:57,163192411,218.146,748088,374044,82m,10,6,5g,4,4,8g,lzf,108k,34k,10k,68m,0.1,0.6,42m,org.apache.spark.serializer.JavaSerializer,82k,0.6,350,0.8,404m,0.6
ScalaSparkNWeight,2023-04-05,10:49:38,163192411,94.776,1721874,860937,74m,8,2,6g,8,2,16g,lz4,80k,36k,56k,124m,0.4,0.4,36m,org.apache.spark.serializer.KryoSerializer,112k,0.6,800,0.9,220m,0.5
