Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkWordcount,2023-04-05,09:16:32,9854764084,54.513,180778237,90389118,120m,14,7,10g,8,2,16g,lz4,52k,20k,122k,4m,0.6,0.5,62m,org.apache.spark.serializer.KryoSerializer,20k,0.7,600,0.3,290m,0.8
ScalaSparkWordcount,2023-04-05,09:23:40,9854764084,87.397,112758608,56379304,14m,6,7,15g,4,4,8g,lz4,128k,78k,88k,48m,0.4,0.5,26m,org.apache.spark.serializer.JavaSerializer,66k,0.2,350,0.6,54m,0.6
ScalaSparkWordcount,2023-04-05,09:30:56,9854764084,76.976,128023852,64011926,8m,12,5,4g,4,4,8g,lzf,70k,32k,114k,116m,0.8,0.3,110m,org.apache.spark.serializer.KryoSerializer,22k,0.3,500,0.1,40m,0.1
ScalaSparkWordcount,2023-04-05,09:37:00,9854764084,76.249,129244502,64622251,6m,6,5,6g,2,8,4g,snappy,10k,118k,114k,72m,0.6,0.1,98m,org.apache.spark.serializer.KryoSerializer,46k,0.4,100,0.1,58m,0.2
ScalaSparkWordcount,2023-04-05,09:44:52,9854764084,77.81,126651639,63325819,8m,16,2,11g,2,8,4g,lzf,124k,106k,116k,68m,0.2,0.6,36m,org.apache.spark.serializer.KryoSerializer,110k,0.4,400,0.4,464m,0.1
ScalaSparkWordcount,2023-04-05,09:53:34,9854764084,75.992,129681599,64840799,110m,8,7,9g,4,4,8g,lzf,40k,96k,94k,96m,0.4,0.7,122m,org.apache.spark.serializer.KryoSerializer,64k,0.6,450,0.2,282m,0.1
ScalaSparkWordcount,2023-04-05,10:01:31,9854764084,83.972,117357739,58678869,112m,2,1,10g,2,8,4g,snappy,66k,82k,50k,124m,0.4,0.6,16m,org.apache.spark.serializer.KryoSerializer,76k,0.1,300,0.8,126m,0.8
ScalaSparkWordcount,2023-04-05,10:10:57,9854764084,75.041,131325063,65662531,42m,14,7,14g,8,2,16g,snappy,100k,12k,92k,60m,0.6,0.9,86m,org.apache.spark.serializer.KryoSerializer,16k,0.3,150,0.7,252m,0.3
ScalaSparkWordcount,2023-04-05,10:18:41,9854764084,87.288,112899414,56449707,22m,16,5,13g,2,8,4g,lzf,84k,104k,54k,124m,0.1,0.1,34m,org.apache.spark.serializer.KryoSerializer,8k,0.5,150,0.3,366m,0.1
ScalaSparkWordcount,2023-04-05,10:31:27,9854764084,91.732,107429949,53714974,82m,10,6,5g,4,4,8g,lzf,108k,34k,10k,68m,0.1,0.6,42m,org.apache.spark.serializer.JavaSerializer,82k,0.6,350,0.8,404m,0.6
ScalaSparkWordcount,2023-04-05,10:43:32,9854764084,88.903,110848498,55424249,74m,8,2,6g,8,2,16g,lz4,80k,36k,56k,124m,0.4,0.4,36m,org.apache.spark.serializer.KryoSerializer,112k,0.6,800,0.9,220m,0.5
ScalaSparkWordcount,2023-04-05,10:50:51,9854764084,66.89,147327912,73663956,74m,10,5,11g,8,2,16g,lz4,116k,80k,20k,12m,0.2,0.8,50m,org.apache.spark.serializer.JavaSerializer,118k,0.7,250,0.1,70m,0.9
ScalaSparkWordcount,2023-04-05,10:59:25,9854764084,86.292,114202522,57101261,74m,10,1,13g,8,2,16g,lz4,60k,34k,112k,80m,0.1,0.9,10m,org.apache.spark.serializer.KryoSerializer,88k,0.8,400,0.4,150m,0.6
ScalaSparkWordcount,2023-04-05,11:10:08,9854764084,84.2,117039953,58519976,44m,16,6,14g,8,2,16g,lz4,38k,14k,116k,64m,0.1,0.5,88m,org.apache.spark.serializer.JavaSerializer,30k,0.6,450,0.2,48m,0.8
ScalaSparkWordcount,2023-04-05,11:20:51,9854764084,78.501,125536796,62768398,128m,16,6,16g,8,2,16g,lz4,12k,78k,46k,72m,0.9,0.3,4m,org.apache.spark.serializer.KryoSerializer,14k,0.8,650,0.5,110m,0.4
ScalaSparkWordcount,2023-04-05,11:27:59,9854764084,74.229,132761644,66380822,114m,14,1,11g,4,4,8g,lzf,74k,84k,22k,112m,0.2,0.1,100m,org.apache.spark.serializer.JavaSerializer,2k,0.9,400,0.4,194m,0.3
ScalaSparkWordcount,2023-04-05,11:36:29,9854764084,96.196,102444634,51222317,86m,16,3,8g,2,8,4g,lzf,38k,34k,92k,104m,0.9,0.9,34m,org.apache.spark.serializer.JavaSerializer,110k,0.2,650,0.1,322m,0.5
ScalaSparkWordcount,2023-04-05,11:45:01,9854764084,96.858,101744451,50872225,80m,6,8,13g,2,8,4g,lzf,16k,52k,4k,124m,0.2,0.3,128m,org.apache.spark.serializer.KryoSerializer,46k,0.1,100,0.9,306m,0.5
ScalaSparkWordcount,2023-04-05,11:54:26,9854764084,83.583,117903928,58951964,78m,2,3,14g,4,4,8g,lz4,30k,126k,104k,48m,0.6,0.3,58m,org.apache.spark.serializer.KryoSerializer,90k,0.2,800,0.8,102m,0.4
ScalaSparkWordcount,2023-04-05,12:02:35,9854764084,90.249,109195271,54597635,120m,6,7,12g,2,8,4g,snappy,110k,76k,96k,48m,0.8,0.5,70m,org.apache.spark.serializer.JavaSerializer,98k,0.9,200,0.2,466m,0.8
ScalaSparkWordcount,2023-04-05,12:10:41,9854764084,79.319,124242162,62121081,62m,14,6,7g,4,4,8g,lzf,106k,114k,40k,128m,0.7,0.3,52m,org.apache.spark.serializer.JavaSerializer,124k,0.7,150,0.7,52m,0.9
ScalaSparkWordcount,2023-04-05,12:18:23,9854764084,78.964,124800720,62400360,90m,14,1,13g,2,8,4g,snappy,42k,94k,28k,120m,0.6,0.4,114m,org.apache.spark.serializer.KryoSerializer,8k,0.1,400,0.4,16m,0.3
ScalaSparkWordcount,2023-04-05,12:26:50,9854764084,86.839,113483159,56741579,2m,4,8,9g,4,4,8g,lz4,128k,120k,2k,76m,0.2,0.7,28m,org.apache.spark.serializer.KryoSerializer,80k,0.7,150,0.3,88m,0.6
ScalaSparkWordcount,2023-04-05,12:35:05,9854764084,84.32,116873388,58436694,40m,10,4,12g,8,2,16g,lz4,34k,78k,56k,76m,0.1,0.4,34m,org.apache.spark.serializer.KryoSerializer,20k,0.5,750,0.5,278m,0.5
ScalaSparkWordcount,2023-04-05,12:45:53,9854764084,92.96,106010801,53005400,22m,14,8,7g,2,8,4g,lzf,2k,78k,60k,44m,0.4,0.1,100m,org.apache.spark.serializer.JavaSerializer,40k,0.1,100,0.6,114m,0.3
ScalaSparkWordcount,2023-04-05,12:54:27,9854764084,96.727,101882246,50941123,32m,12,1,10g,2,8,4g,lzf,54k,88k,128k,112m,0.6,0.5,66m,org.apache.spark.serializer.JavaSerializer,40k,0.5,350,0.9,402m,0.8
ScalaSparkWordcount,2023-04-05,13:02:37,9854764084,95.865,102798352,51399176,96m,4,5,11g,2,8,4g,snappy,42k,50k,108k,108m,0.9,0.4,82m,org.apache.spark.serializer.JavaSerializer,90k,0.2,200,0.8,418m,0.7
ScalaSparkWordcount,2023-04-05,13:10:46,9854764084,80.441,122509218,61254609,96m,16,4,13g,8,2,16g,lz4,86k,46k,62k,40m,0.5,0.4,114m,org.apache.spark.serializer.KryoSerializer,84k,0.3,250,0.3,142m,0.7
ScalaSparkWordcount,2023-04-05,13:17:58,9854764084,82.683,119187306,59593653,126m,2,4,13g,2,8,4g,snappy,80k,76k,6k,60m,0.7,0.8,36m,org.apache.spark.serializer.KryoSerializer,34k,0.2,600,0.7,294m,0.5
ScalaSparkWordcount,2023-04-05,13:26:55,9854764084,96.774,101832765,50916382,30m,10,4,8g,2,8,4g,lzf,112k,48k,24k,72m,0.9,0.8,118m,org.apache.spark.serializer.JavaSerializer,2k,0.7,250,0.9,420m,0.4
ScalaSparkWordcount,2023-04-05,13:35:17,9854764084,93.803,105058090,52529045,90m,12,2,8g,2,8,4g,lz4,8k,50k,24k,64m,0.4,0.8,16m,org.apache.spark.serializer.KryoSerializer,62k,0.7,400,0.5,314m,0.8
ScalaSparkWordcount,2023-04-05,13:43:35,9854764084,89.159,110530222,55265111,60m,8,4,5g,2,8,4g,lzf,30k,20k,24k,124m,0.3,0.7,104m,org.apache.spark.serializer.JavaSerializer,88k,0.1,700,0.7,108m,0.2
ScalaSparkWordcount,2023-04-05,13:52:08,9854764084,97.236,101348925,50674462,78m,14,3,11g,2,8,4g,snappy,2k,114k,68k,108m,0.9,0.6,46m,org.apache.spark.serializer.JavaSerializer,2k,0.8,100,0.5,410m,0.4
ScalaSparkWordcount,2023-04-05,14:00:12,9854764084,92.069,107036723,53518361,18m,16,3,16g,2,8,4g,lz4,32k,54k,124k,28m,0.9,0.7,122m,org.apache.spark.serializer.KryoSerializer,76k,0.6,50,0.1,150m,0.8
ScalaSparkWordcount,2023-04-05,14:08:07,9854764084,82.318,119715786,59857893,112m,10,5,4g,8,2,16g,lz4,104k,38k,24k,96m,0.4,0.7,16m,org.apache.spark.serializer.JavaSerializer,112k,0.2,250,0.3,58m,0.7
ScalaSparkWordcount,2023-04-05,14:15:43,9854764084,73.049,134906214,67453107,64m,12,3,10g,4,4,8g,lz4,106k,104k,74k,72m,0.8,0.8,70m,org.apache.spark.serializer.JavaSerializer,116k,0.6,650,0.2,12m,0.8
ScalaSparkWordcount,2023-04-05,14:22:59,9854764084,71.512,137805740,68902870,4m,2,6,5g,8,2,16g,snappy,6k,60k,6k,116m,0.9,0.8,120m,org.apache.spark.serializer.KryoSerializer,90k,0.4,350,0.3,8m,0.2
ScalaSparkWordcount,2023-04-05,14:31:07,9854764084,89.157,110532701,55266350,100m,2,8,5g,2,8,4g,lz4,18k,38k,34k,44m,0.9,0.9,60m,org.apache.spark.serializer.JavaSerializer,4k,0.3,400,0.8,54m,0.3
ScalaSparkWordcount,2023-04-05,14:39:32,9854764084,89.29,110368060,55184030,48m,10,7,9g,4,4,8g,lzf,120k,116k,42k,8m,0.6,0.1,118m,org.apache.spark.serializer.KryoSerializer,28k,0.1,200,0.7,378m,0.5
ScalaSparkWordcount,2023-04-05,14:47:17,9854764084,78.673,125262340,62631170,80m,12,8,7g,8,2,16g,lzf,94k,94k,42k,60m,0.1,0.9,122m,org.apache.spark.serializer.KryoSerializer,8k,0.6,750,0.5,224m,0.2
ScalaSparkWordcount,2023-04-05,14:58:48,9854764084,80.564,122322179,61161089,62m,4,4,4g,4,4,8g,snappy,66k,88k,56k,32m,0.2,0.1,118m,org.apache.spark.serializer.KryoSerializer,28k,0.9,50,0.7,314m,0.6
ScalaSparkWordcount,2023-04-05,15:07:31,9854764084,84.84,116157049,58078524,20m,2,8,9g,8,2,16g,lzf,80k,62k,86k,44m,0.8,0.9,92m,org.apache.spark.serializer.KryoSerializer,42k,0.2,300,0.5,106m,0.2
ScalaSparkWordcount,2023-04-05,15:16:01,9854764084,86.151,114389433,57194716,70m,16,2,8g,2,8,4g,lzf,44k,42k,68k,112m,0.7,0.1,6m,org.apache.spark.serializer.JavaSerializer,22k,0.4,300,0.3,144m,0.3
ScalaSparkWordcount,2023-04-05,15:23:49,9854764084,74.845,131668970,65834485,92m,14,2,10g,4,4,8g,lzf,94k,80k,86k,32m,0.9,0.1,100m,org.apache.spark.serializer.KryoSerializer,52k,0.3,100,0.4,288m,0.6
ScalaSparkWordcount,2023-04-05,15:31:41,9854764084,75.028,131347817,65673908,116m,10,6,16g,8,2,16g,snappy,10k,26k,110k,4m,0.4,0.9,10m,org.apache.spark.serializer.KryoSerializer,2k,0.7,550,0.5,428m,0.2
ScalaSparkWordcount,2023-04-05,15:39:39,9854764084,80.42,122541209,61270604,96m,8,8,14g,4,4,8g,lz4,120k,52k,96k,128m,0.7,0.1,120m,org.apache.spark.serializer.JavaSerializer,106k,0.7,800,0.7,388m,0.5
ScalaSparkWordcount,2023-04-05,15:47:11,9854764084,86.662,113714939,56857469,80m,6,6,6g,2,8,4g,lz4,80k,10k,110k,52m,0.4,0.4,48m,org.apache.spark.serializer.JavaSerializer,56k,0.7,150,0.4,206m,0.4
ScalaSparkWordcount,2023-04-05,15:55:08,9854764084,81.408,121054000,60527000,60m,4,4,6g,4,4,8g,lzf,100k,94k,26k,32m,0.7,0.5,42m,org.apache.spark.serializer.KryoSerializer,126k,0.9,550,0.8,444m,0.9
ScalaSparkWordcount,2023-04-05,16:03:15,9854764084,82.093,120043902,60021951,70m,10,8,16g,4,4,8g,snappy,46k,38k,30k,32m,0.1,0.7,26m,org.apache.spark.serializer.JavaSerializer,74k,0.4,750,0.8,256m,0.1
ScalaSparkWordcount,2023-04-05,16:15:25,9854764084,92.084,107019287,53509643,56m,4,5,11g,2,8,4g,snappy,110k,74k,94k,100m,0.7,0.9,32m,org.apache.spark.serializer.JavaSerializer,66k,0.1,700,0.5,218m,0.9
ScalaSparkWordcount,2023-04-05,16:23:34,9854764084,88.819,110953333,55476666,128m,16,4,15g,4,4,8g,lzf,124k,46k,86k,100m,0.6,0.4,68m,org.apache.spark.serializer.JavaSerializer,124k,0.2,750,0.2,474m,0.2
