Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkPagerank,2023-04-20,02:30:13,395478955,133.873,2954135,1477067,12m,10,4,12g,4,4,8g,lz4,96k,16k,56k,92m,0.8,0.3,86m,org.apache.spark.serializer.JavaSerializer,124k,0.1,700,0.3,106m,0.4
ScalaSparkPagerank,2023-04-20,02:41:01,395478955,133.043,2972564,1486282,112m,14,3,15g,8,2,16g,lz4,112k,128k,30k,88m,0.7,0.2,100m,org.apache.spark.serializer.KryoSerializer,108k,0.5,800,0.6,362m,0.3
ScalaSparkPagerank,2023-04-20,02:52:09,395478955,155.832,2537854,1268927,10m,4,2,13g,8,2,16g,lz4,50k,2k,122k,88m,0.6,0.8,104m,org.apache.spark.serializer.JavaSerializer,20k,0.5,450,0.4,438m,0.7
ScalaSparkPagerank,2023-04-20,03:03:30,395478955,157.632,2508874,1254437,112m,16,8,15g,4,4,8g,snappy,78k,10k,88k,96m,0.7,0.4,6m,org.apache.spark.serializer.KryoSerializer,42k,0.8,50,0.6,444m,0.3
ScalaSparkPagerank,2023-04-20,03:14:26,395478955,133.199,2969083,1484541,18m,8,3,4g,8,2,16g,lz4,78k,48k,4k,88m,0.8,0.9,108m,org.apache.spark.serializer.KryoSerializer,46k,0.2,250,0.2,222m,0.1
ScalaSparkPagerank,2023-04-20,03:25:12,395478955,137.329,2879791,1439895,68m,6,1,14g,4,4,8g,lz4,90k,86k,24k,48m,0.8,0.4,100m,org.apache.spark.serializer.JavaSerializer,102k,0.2,200,0.8,126m,0.9
ScalaSparkPagerank,2023-04-20,03:36:02,395478955,136.431,2898747,1449373,106m,6,4,16g,8,2,16g,lz4,28k,92k,24k,124m,0.8,0.4,114m,org.apache.spark.serializer.KryoSerializer,96k,0.3,750,0.4,72m,0.9
ScalaSparkPagerank,2023-04-20,03:47:33,395478955,157.477,2511344,1255672,118m,8,5,11g,2,8,4g,lzf,58k,114k,62k,24m,0.6,0.7,26m,org.apache.spark.serializer.KryoSerializer,58k,0.7,550,0.2,358m,0.3
ScalaSparkPagerank,2023-04-20,03:59:07,395478955,168.92,2341220,1170610,102m,8,8,8g,8,2,16g,snappy,38k,62k,40k,92m,0.9,0.8,82m,org.apache.spark.serializer.KryoSerializer,60k,0.9,250,0.6,46m,0.6
ScalaSparkPagerank,2023-04-20,04:11:27,395478955,174.825,2262141,1131070,28m,4,7,10g,2,8,4g,snappy,112k,14k,82k,56m,0.4,0.9,124m,org.apache.spark.serializer.KryoSerializer,6k,0.9,100,0.2,174m,0.3
ScalaSparkPagerank,2023-04-20,04:31:53,395478955,191.221,2068177,1034088,108m,8,3,7g,8,2,16g,lzf,94k,12k,120k,100m,0.1,0.5,38m,org.apache.spark.serializer.JavaSerializer,102k,0.5,750,0.3,204m,0.6
ScalaSparkPagerank,2023-04-20,04:42:33,395478955,136.472,2897876,1448938,88m,12,7,15g,4,4,8g,lzf,10k,24k,30k,108m,0.6,0.6,18m,org.apache.spark.serializer.JavaSerializer,46k,0.3,400,0.8,184m,0.2
ScalaSparkPagerank,2023-04-20,04:54:54,395478955,201.591,1961788,980894,114m,8,4,11g,2,8,4g,lzf,28k,44k,66k,112m,0.8,0.8,76m,org.apache.spark.serializer.KryoSerializer,82k,0.8,750,0.4,200m,0.3
ScalaSparkPagerank,2023-04-20,05:22:15,395478955,202.722,1950843,975421,78m,4,4,16g,4,4,8g,lz4,68k,42k,46k,68m,0.1,0.5,14m,org.apache.spark.serializer.KryoSerializer,126k,0.7,700,0.4,296m,0.4
ScalaSparkPagerank,2023-04-20,05:34:06,395478955,166.397,2376719,1188359,92m,6,8,6g,2,8,4g,lzf,56k,96k,20k,96m,0.4,0.8,86m,org.apache.spark.serializer.KryoSerializer,104k,0.1,150,0.3,170m,0.8
ScalaSparkPagerank,2023-04-20,05:52:01,395478955,203.234,1945929,972964,36m,6,7,14g,8,2,16g,lzf,100k,126k,70k,116m,0.2,0.5,4m,org.apache.spark.serializer.KryoSerializer,106k,0.9,650,0.4,22m,0.6
ScalaSparkPagerank,2023-04-20,06:03:47,395478955,165.296,2392550,1196275,108m,14,3,6g,2,8,4g,snappy,54k,52k,56k,120m,0.7,0.9,66m,org.apache.spark.serializer.KryoSerializer,94k,0.7,600,0.3,112m,0.2
ScalaSparkPagerank,2023-04-20,06:15:52,395478955,188.144,2102001,1051000,44m,2,3,14g,4,4,8g,lz4,40k,122k,108k,12m,0.8,0.5,22m,org.apache.spark.serializer.JavaSerializer,18k,0.8,500,0.7,150m,0.7
ScalaSparkPagerank,2023-04-20,06:27:55,395478955,176.486,2240851,1120425,110m,6,6,5g,4,4,8g,lzf,104k,44k,38k,108m,0.4,0.5,38m,org.apache.spark.serializer.KryoSerializer,84k,0.7,300,0.3,222m,0.5
ScalaSparkPagerank,2023-04-20,06:38:59,395478955,132.274,2989846,1494923,22m,12,8,10g,2,8,4g,snappy,76k,16k,86k,100m,0.6,0.8,10m,org.apache.spark.serializer.JavaSerializer,102k,0.3,750,0.5,332m,0.5
