Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkKmeans,2023-04-20,02:25:56,8032739922,128.538,62493114,31246557,12m,10,4,12g,4,4,8g,lz4,96k,16k,56k,92m,0.8,0.3,86m,org.apache.spark.serializer.JavaSerializer,124k,0.1,700,0.3,106m,0.4
ScalaSparkNWeight,2023-04-20,02:27:54,199715274,113.793,1755075,877537,12m,10,4,12g,4,4,8g,lz4,96k,16k,56k,92m,0.8,0.3,86m,org.apache.spark.serializer.JavaSerializer,124k,0.1,700,0.3,106m,0.4
ScalaSparkPagerank,2023-04-20,02:30:13,395478955,133.873,2954135,1477067,12m,10,4,12g,4,4,8g,lz4,96k,16k,56k,92m,0.8,0.3,86m,org.apache.spark.serializer.JavaSerializer,124k,0.1,700,0.3,106m,0.4
ScalaSparkTerasort,2023-04-20,02:32:28,4800000000,130.985,36645417,18322708,12m,10,4,12g,4,4,8g,lz4,96k,16k,56k,92m,0.8,0.3,86m,org.apache.spark.serializer.JavaSerializer,124k,0.1,700,0.3,106m,0.4
ScalaSparkWordcount,2023-04-20,02:34:34,16424533732,121.327,135374102,67687051,12m,10,4,12g,4,4,8g,lz4,96k,16k,56k,92m,0.8,0.3,86m,org.apache.spark.serializer.JavaSerializer,124k,0.1,700,0.3,106m,0.4
ScalaSparkKmeans,2023-04-20,02:36:36,8032739922,115.584,69496988,34748494,112m,14,3,15g,8,2,16g,lz4,112k,128k,30k,88m,0.7,0.2,100m,org.apache.spark.serializer.KryoSerializer,108k,0.5,800,0.6,362m,0.3
ScalaSparkNWeight,2023-04-20,02:38:43,199715274,122.527,1629969,814984,112m,14,3,15g,8,2,16g,lz4,112k,128k,30k,88m,0.7,0.2,100m,org.apache.spark.serializer.KryoSerializer,108k,0.5,800,0.6,362m,0.3
ScalaSparkPagerank,2023-04-20,02:41:01,395478955,133.043,2972564,1486282,112m,14,3,15g,8,2,16g,lz4,112k,128k,30k,88m,0.7,0.2,100m,org.apache.spark.serializer.KryoSerializer,108k,0.5,800,0.6,362m,0.3
ScalaSparkTerasort,2023-04-20,02:43:18,4800000000,132.918,36112490,18056245,112m,14,3,15g,8,2,16g,lz4,112k,128k,30k,88m,0.7,0.2,100m,org.apache.spark.serializer.KryoSerializer,108k,0.5,800,0.6,362m,0.3
ScalaSparkWordcount,2023-04-20,02:45:19,16424533732,116.155,141401865,70700932,112m,14,3,15g,8,2,16g,lz4,112k,128k,30k,88m,0.7,0.2,100m,org.apache.spark.serializer.KryoSerializer,108k,0.5,800,0.6,362m,0.3
