Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.sql.shuffle.partitions,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkNWeight,2023-04-16,17:21:16,236122227,133.376,1770350,885175,98m,10,1,13g,8,2,16g,snappy,6k,6k,82k,32m,0.9,0.6,110m,org.apache.spark.serializer.JavaSerializer,74k,0.2,50,8,0.4,364m,0.8
ScalaSparkNWeight,2023-04-16,17:36:16,236122227,183.689,1285445,642722,16m,16,5,5g,4,4,8g,snappy,32k,52k,92k,44m,0.4,0.9,56m,org.apache.spark.serializer.KryoSerializer,74k,0.3,450,8,0.5,302m,0.2
ScalaSparkNWeight,2023-04-16,17:50:41,236122227,137.485,1717439,858719,8m,16,7,10g,4,4,8g,lzf,14k,44k,66k,4m,0.8,0.2,124m,org.apache.spark.serializer.KryoSerializer,96k,0.6,550,8,0.8,254m,0.2
ScalaSparkNWeight,2023-04-16,18:04:56,236122227,130.809,1805091,902545,64m,14,8,15g,4,4,8g,lz4,100k,24k,14k,16m,0.6,0.9,126m,org.apache.spark.serializer.KryoSerializer,120k,0.5,500,8,0.6,478m,0.5
ScalaSparkNWeight,2023-04-16,18:18:35,236122227,133.971,1762487,881243,78m,14,4,4g,4,4,8g,lz4,46k,128k,72k,96m,0.9,0.1,70m,org.apache.spark.serializer.JavaSerializer,22k,0.3,600,8,0.2,24m,0.3
ScalaSparkNWeight,2023-04-16,18:32:31,236122227,134.517,1755333,877666,106m,10,6,7g,4,4,8g,lz4,10k,94k,24k,52m,0.7,0.2,58m,org.apache.spark.serializer.JavaSerializer,18k,0.5,800,8,0.6,314m,0.2
ScalaSparkNWeight,2023-04-16,18:47:47,236122227,228.122,1035069,517534,50m,12,6,13g,8,2,16g,lz4,126k,16k,122k,40m,0.4,0.6,72m,org.apache.spark.serializer.JavaSerializer,100k,0.1,650,8,0.1,102m,0.6
ScalaSparkNWeight,2023-04-16,19:02:36,236122227,171.564,1376292,688146,36m,8,3,5g,2,8,4g,lzf,122k,124k,4k,20m,0.5,0.3,46m,org.apache.spark.serializer.JavaSerializer,104k,0.2,350,8,0.1,108m,0.3
ScalaSparkNWeight,2023-04-16,19:16:42,236122227,149.653,1577798,788899,70m,16,5,11g,8,2,16g,snappy,40k,68k,44k,56m,0.9,0.6,94m,org.apache.spark.serializer.JavaSerializer,26k,0.5,450,8,0.7,298m,0.6
ScalaSparkNWeight,2023-04-16,19:30:39,236122227,141.576,1667812,833906,66m,10,8,10g,4,4,8g,lzf,14k,92k,104k,16m,0.9,0.5,40m,org.apache.spark.serializer.KryoSerializer,66k,0.4,700,8,0.7,164m,0.3
