Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.sql.shuffle.partitions,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkPagerank,2023-04-16,17:24:15,531470496,174.6,3043931,1521965,98m,10,1,13g,8,2,16g,snappy,6k,6k,82k,32m,0.9,0.6,110m,org.apache.spark.serializer.JavaSerializer,74k,0.2,50,8,0.4,364m,0.8
ScalaSparkPagerank,2023-04-16,17:39:46,531470496,205.362,2587969,1293984,16m,16,5,5g,4,4,8g,snappy,32k,52k,92k,44m,0.4,0.9,56m,org.apache.spark.serializer.KryoSerializer,74k,0.3,450,8,0.5,302m,0.2
ScalaSparkPagerank,2023-04-16,17:54:11,531470496,206.326,2575877,1287938,8m,16,7,10g,4,4,8g,lzf,14k,44k,66k,4m,0.8,0.2,124m,org.apache.spark.serializer.KryoSerializer,96k,0.6,550,8,0.8,254m,0.2
ScalaSparkPagerank,2023-04-16,18:07:42,531470496,161.045,3300136,1650068,64m,14,8,15g,4,4,8g,lz4,100k,24k,14k,16m,0.6,0.9,126m,org.apache.spark.serializer.KryoSerializer,120k,0.5,500,8,0.6,478m,0.5
ScalaSparkPagerank,2023-04-16,18:21:24,531470496,164.346,3233851,1616925,78m,14,4,4g,4,4,8g,lz4,46k,128k,72k,96m,0.9,0.1,70m,org.apache.spark.serializer.JavaSerializer,22k,0.3,600,8,0.2,24m,0.3
ScalaSparkPagerank,2023-04-16,18:35:24,531470496,168.974,3145279,1572639,106m,10,6,7g,4,4,8g,lz4,10k,94k,24k,52m,0.7,0.2,58m,org.apache.spark.serializer.JavaSerializer,18k,0.5,800,8,0.6,314m,0.2
ScalaSparkPagerank,2023-04-16,18:50:43,531470496,171.438,3100074,1550037,50m,12,6,13g,8,2,16g,lz4,126k,16k,122k,40m,0.4,0.6,72m,org.apache.spark.serializer.JavaSerializer,100k,0.1,650,8,0.1,102m,0.6
ScalaSparkPagerank,2023-04-16,19:05:25,531470496,165.581,3209731,1604865,36m,8,3,5g,2,8,4g,lzf,122k,124k,4k,20m,0.5,0.3,46m,org.apache.spark.serializer.JavaSerializer,104k,0.2,350,8,0.1,108m,0.3
ScalaSparkPagerank,2023-04-16,19:19:35,531470496,168.476,3154576,1577288,70m,16,5,11g,8,2,16g,snappy,40k,68k,44k,56m,0.9,0.6,94m,org.apache.spark.serializer.JavaSerializer,26k,0.5,450,8,0.7,298m,0.6
ScalaSparkPagerank,2023-04-16,19:34:10,531470496,206.297,2576239,1288119,66m,10,8,10g,4,4,8g,lzf,14k,92k,104k,16m,0.9,0.5,40m,org.apache.spark.serializer.KryoSerializer,66k,0.4,700,8,0.7,164m,0.3
ScalaSparkPagerank,2023-04-16,19:49:01,531470496,204.178,2602976,1301488,64m,14,4,4g,2,8,4g,snappy,60k,20k,102k,20m,0.5,0.8,128m,org.apache.spark.serializer.JavaSerializer,36k,0.5,400,8,0.3,54m,0.2
ScalaSparkPagerank,2023-04-16,20:03:19,531470496,200.599,2649417,1324708,30m,12,7,13g,4,4,8g,snappy,96k,10k,52k,104m,0.5,0.8,114m,org.apache.spark.serializer.KryoSerializer,78k,0.2,500,8,0.6,448m,0.5
ScalaSparkPagerank,2023-04-16,20:17:09,531470496,161.436,3292143,1646071,82m,12,3,8g,2,8,4g,lz4,78k,100k,118k,116m,0.9,0.7,60m,org.apache.spark.serializer.KryoSerializer,124k,0.5,800,8,0.6,164m,0.4
ScalaSparkPagerank,2023-04-16,20:32:08,531470496,174.167,3051499,1525749,82m,10,6,14g,2,8,4g,snappy,94k,128k,126k,128m,0.6,0.8,42m,org.apache.spark.serializer.JavaSerializer,108k,0.9,350,8,0.5,44m,0.3
ScalaSparkPagerank,2023-04-16,20:47:25,531470496,192.601,2759437,1379718,108m,4,7,11g,8,2,16g,lz4,90k,84k,20k,108m,0.4,0.7,26m,org.apache.spark.serializer.KryoSerializer,14k,0.4,200,8,0.3,40m,0.4
ScalaSparkPagerank,2023-04-16,21:02:14,531470496,201.084,2643027,1321513,106m,16,1,13g,2,8,4g,snappy,14k,110k,118k,60m,0.9,0.7,12m,org.apache.spark.serializer.KryoSerializer,60k,0.9,300,8,0.5,230m,0.1
ScalaSparkPagerank,2023-04-16,21:55:43,531470496,196.601,2703294,1351647,22m,8,3,15g,4,4,8g,lz4,120k,102k,34k,84m,0.1,0.7,84m,org.apache.spark.serializer.KryoSerializer,56k,0.2,450,8,0.1,108m,0.1
ScalaSparkPagerank,2023-04-16,22:15:39,531470496,277.326,1916410,958205,86m,6,8,13g,4,4,8g,lzf,6k,124k,70k,36m,0.2,0.1,80m,org.apache.spark.serializer.KryoSerializer,2k,0.5,200,8,0.3,438m,0.6
ScalaSparkPagerank,2023-04-16,22:30:23,531470496,223.703,2375786,1187893,78m,6,8,15g,8,2,16g,lzf,4k,98k,8k,36m,0.8,0.8,122m,org.apache.spark.serializer.KryoSerializer,2k,0.5,100,8,0.4,98m,0.2
ScalaSparkPagerank,2023-04-16,22:45:14,531470496,225.77,2354035,1177017,112m,10,2,10g,8,2,16g,lzf,90k,76k,86k,24m,0.8,0.3,2m,org.apache.spark.serializer.KryoSerializer,72k,0.2,800,8,0.7,226m,0.3
ScalaSparkPagerank,2023-04-16,22:59:36,531470496,199.651,2661997,1330998,58m,16,4,15g,4,4,8g,snappy,46k,86k,8k,100m,0.9,0.1,76m,org.apache.spark.serializer.KryoSerializer,116k,0.1,800,8,0.2,498m,0.9
ScalaSparkPagerank,2023-04-16,23:13:45,531470496,164.836,3224238,1612119,84m,8,1,8g,2,8,4g,lzf,128k,68k,48k,64m,0.6,0.3,78m,org.apache.spark.serializer.JavaSerializer,64k,0.1,50,8,0.9,48m,0.1
ScalaSparkPagerank,2023-04-16,23:28:08,531470496,198.682,2674980,1337490,48m,16,7,8g,4,4,8g,lzf,10k,98k,8k,12m,0.9,0.5,84m,org.apache.spark.serializer.KryoSerializer,20k,0.2,300,8,0.8,392m,0.5
ScalaSparkPagerank,2023-04-16,23:42:04,531470496,169.643,3132876,1566438,120m,10,5,6g,2,8,4g,lz4,52k,28k,84k,120m,0.8,0.6,72m,org.apache.spark.serializer.JavaSerializer,102k,0.5,50,8,0.2,42m,0.3
ScalaSparkPagerank,2023-04-16,23:59:12,531470496,179.192,2965927,1482963,72m,4,7,12g,4,4,8g,snappy,20k,14k,94k,16m,0.3,0.1,108m,org.apache.spark.serializer.JavaSerializer,116k,0.9,150,8,0.7,36m,0.5
ScalaSparkPagerank,2023-04-17,00:14:00,531470496,216.354,2456485,1228242,74m,6,1,13g,4,4,8g,lzf,126k,122k,76k,52m,0.5,0.1,128m,org.apache.spark.serializer.KryoSerializer,36k,0.8,300,8,0.4,112m,0.3
