Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.sql.shuffle.partitions,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-16,17:27:36,6400000000,196.149,32628257,16314128,98m,10,1,13g,8,2,16g,snappy,6k,6k,82k,32m,0.9,0.6,110m,org.apache.spark.serializer.JavaSerializer,74k,0.2,50,8,0.4,364m,0.8
ScalaSparkTerasort,2023-04-16,17:42:43,6400000000,172.039,37200867,18600433,16m,16,5,5g,4,4,8g,snappy,32k,52k,92k,44m,0.4,0.9,56m,org.apache.spark.serializer.KryoSerializer,74k,0.3,450,8,0.5,302m,0.2
ScalaSparkTerasort,2023-04-16,17:57:05,6400000000,169.287,37805620,18902810,8m,16,7,10g,4,4,8g,lzf,14k,44k,66k,4m,0.8,0.2,124m,org.apache.spark.serializer.KryoSerializer,96k,0.6,550,8,0.8,254m,0.2
ScalaSparkTerasort,2023-04-16,18:10:36,6400000000,170.191,37604808,18802404,64m,14,8,15g,4,4,8g,lz4,100k,24k,14k,16m,0.6,0.9,126m,org.apache.spark.serializer.KryoSerializer,120k,0.5,500,8,0.6,478m,0.5
ScalaSparkTerasort,2023-04-16,18:24:34,6400000000,185.977,34412857,17206428,78m,14,4,4g,4,4,8g,lz4,46k,128k,72k,96m,0.9,0.1,70m,org.apache.spark.serializer.JavaSerializer,22k,0.3,600,8,0.2,24m,0.3
ScalaSparkTerasort,2023-04-16,18:38:20,6400000000,170.938,37440475,18720237,106m,10,6,7g,4,4,8g,lz4,10k,94k,24k,52m,0.7,0.2,58m,org.apache.spark.serializer.JavaSerializer,18k,0.5,800,8,0.6,314m,0.2
ScalaSparkTerasort,2023-04-16,18:53:56,6400000000,188.718,33913034,16956517,50m,12,6,13g,8,2,16g,lz4,126k,16k,122k,40m,0.4,0.6,72m,org.apache.spark.serializer.JavaSerializer,100k,0.1,650,8,0.1,102m,0.6
ScalaSparkTerasort,2023-04-16,19:08:23,6400000000,173.501,36887395,18443697,36m,8,3,5g,2,8,4g,lzf,122k,124k,4k,20m,0.5,0.3,46m,org.apache.spark.serializer.JavaSerializer,104k,0.2,350,8,0.1,108m,0.3
ScalaSparkTerasort,2023-04-16,19:22:42,6400000000,182.505,35067532,17533766,70m,16,5,11g,8,2,16g,snappy,40k,68k,44k,56m,0.9,0.6,94m,org.apache.spark.serializer.JavaSerializer,26k,0.5,450,8,0.7,298m,0.6
ScalaSparkTerasort,2023-04-16,19:36:56,6400000000,161.891,39532772,19766386,66m,10,8,10g,4,4,8g,lzf,14k,92k,104k,16m,0.9,0.5,40m,org.apache.spark.serializer.KryoSerializer,66k,0.4,700,8,0.7,164m,0.3
ScalaSparkTerasort,2023-04-16,19:51:46,6400000000,160.603,39849816,19924908,64m,14,4,4g,2,8,4g,snappy,60k,20k,102k,20m,0.5,0.8,128m,org.apache.spark.serializer.JavaSerializer,36k,0.5,400,8,0.3,54m,0.2
ScalaSparkTerasort,2023-04-16,20:06:10,6400000000,166.645,38404992,19202496,30m,12,7,13g,4,4,8g,snappy,96k,10k,52k,104m,0.5,0.8,114m,org.apache.spark.serializer.KryoSerializer,78k,0.2,500,8,0.6,448m,0.5
ScalaSparkTerasort,2023-04-16,20:20:03,6400000000,169.998,37647501,18823750,82m,12,3,8g,2,8,4g,lz4,78k,100k,118k,116m,0.9,0.7,60m,org.apache.spark.serializer.KryoSerializer,124k,0.5,800,8,0.6,164m,0.4
ScalaSparkTerasort,2023-04-16,20:34:54,6400000000,161.216,39698292,19849146,82m,10,6,14g,2,8,4g,snappy,94k,128k,126k,128m,0.6,0.8,42m,org.apache.spark.serializer.JavaSerializer,108k,0.9,350,8,0.5,44m,0.3
ScalaSparkTerasort,2023-04-16,20:50:43,6400000000,192.992,33161996,16580998,108m,4,7,11g,8,2,16g,lz4,90k,84k,20k,108m,0.4,0.7,26m,org.apache.spark.serializer.KryoSerializer,14k,0.4,200,8,0.3,40m,0.4
ScalaSparkTerasort,2023-04-16,21:05:04,6400000000,165.832,38593275,19296637,106m,16,1,13g,2,8,4g,snappy,14k,110k,118k,60m,0.9,0.7,12m,org.apache.spark.serializer.KryoSerializer,60k,0.9,300,8,0.5,230m,0.1
ScalaSparkTerasort,2023-04-16,21:58:19,6400000000,151.614,42212460,21106230,22m,8,3,15g,4,4,8g,lz4,120k,102k,34k,84m,0.1,0.7,84m,org.apache.spark.serializer.KryoSerializer,56k,0.2,450,8,0.1,108m,0.1
ScalaSparkTerasort,2023-04-16,22:18:15,6400000000,151.207,42326082,21163041,86m,6,8,13g,4,4,8g,lzf,6k,124k,70k,36m,0.2,0.1,80m,org.apache.spark.serializer.KryoSerializer,2k,0.5,200,8,0.3,438m,0.6
ScalaSparkTerasort,2023-04-16,22:33:30,6400000000,183.142,34945561,17472780,78m,6,8,15g,8,2,16g,lzf,4k,98k,8k,36m,0.8,0.8,122m,org.apache.spark.serializer.KryoSerializer,2k,0.5,100,8,0.4,98m,0.2
ScalaSparkTerasort,2023-04-16,22:48:09,6400000000,170.319,37576547,18788273,112m,10,2,10g,8,2,16g,lzf,90k,76k,86k,24m,0.8,0.3,2m,org.apache.spark.serializer.KryoSerializer,72k,0.2,800,8,0.7,226m,0.3
ScalaSparkTerasort,2023-04-16,23:02:28,6400000000,168.17,38056728,19028364,58m,16,4,15g,4,4,8g,snappy,46k,86k,8k,100m,0.9,0.1,76m,org.apache.spark.serializer.KryoSerializer,116k,0.1,800,8,0.2,498m,0.9
ScalaSparkTerasort,2023-04-16,23:16:31,6400000000,160.894,39777741,19888870,84m,8,1,8g,2,8,4g,lzf,128k,68k,48k,64m,0.6,0.3,78m,org.apache.spark.serializer.JavaSerializer,64k,0.1,50,8,0.9,48m,0.1
ScalaSparkTerasort,2023-04-16,23:30:57,6400000000,165.266,38725448,19362724,48m,16,7,8g,4,4,8g,lzf,10k,98k,8k,12m,0.9,0.5,84m,org.apache.spark.serializer.KryoSerializer,20k,0.2,300,8,0.8,392m,0.5
ScalaSparkTerasort,2023-04-16,23:45:05,6400000000,176.62,36235986,18117993,120m,10,5,6g,2,8,4g,lz4,52k,28k,84k,120m,0.8,0.6,72m,org.apache.spark.serializer.JavaSerializer,102k,0.5,50,8,0.2,42m,0.3
ScalaSparkTerasort,2023-04-17,00:01:54,6400000000,156.848,40803835,20401917,72m,4,7,12g,4,4,8g,snappy,20k,14k,94k,16m,0.3,0.1,108m,org.apache.spark.serializer.JavaSerializer,116k,0.9,150,8,0.7,36m,0.5
ScalaSparkTerasort,2023-04-17,00:16:45,6400000000,160.799,39801242,19900621,74m,6,1,13g,4,4,8g,lzf,126k,122k,76k,52m,0.5,0.1,128m,org.apache.spark.serializer.KryoSerializer,36k,0.8,300,8,0.4,112m,0.3
ScalaSparkTerasort,2023-04-17,00:30:32,6400000000,168.636,37951564,18975782,22m,16,8,15g,4,4,8g,lz4,64k,106k,74k,128m,0.5,0.9,44m,org.apache.spark.serializer.JavaSerializer,82k,0.5,650,8,0.9,488m,0.8
ScalaSparkTerasort,2023-04-17,00:44:18,6400000000,161.283,39681801,19840900,40m,14,6,6g,2,8,4g,lz4,14k,94k,126k,88m,0.8,0.4,94m,org.apache.spark.serializer.KryoSerializer,4k,0.8,400,8,0.2,62m,0.6
ScalaSparkTerasort,2023-04-17,00:57:55,6400000000,160.04,39990002,19995001,14m,16,6,8g,4,4,8g,lzf,124k,2k,54k,72m,0.8,0.6,74m,org.apache.spark.serializer.JavaSerializer,114k,0.6,250,8,0.4,188m,0.2
ScalaSparkTerasort,2023-04-17,01:25:28,6400000000,161.443,39642474,19821237,64m,4,6,10g,2,8,4g,snappy,16k,50k,2k,20m,0.2,0.5,104m,org.apache.spark.serializer.KryoSerializer,82k,0.9,650,8,0.9,210m,0.5
ScalaSparkTerasort,2023-04-17,01:39:36,6400000000,167.268,38261950,19130975,90m,14,8,6g,2,8,4g,snappy,110k,62k,54k,24m,0.7,0.6,36m,org.apache.spark.serializer.JavaSerializer,96k,0.4,600,8,0.6,80m,0.7
ScalaSparkTerasort,2023-04-17,02:13:24,6400000000,149.284,42871305,21435652,4m,16,2,6g,2,8,4g,lz4,72k,60k,56k,12m,0.1,0.5,22m,org.apache.spark.serializer.KryoSerializer,100k,0.7,750,8,0.4,438m,0.2
ScalaSparkTerasort,2023-04-17,02:29:40,6400000000,155.891,41054326,20527163,54m,14,6,7g,4,4,8g,lz4,94k,16k,16k,52m,0.3,0.6,118m,org.apache.spark.serializer.JavaSerializer,44k,0.2,150,8,0.1,76m,0.9
ScalaSparkTerasort,2023-04-17,02:46:01,6400000000,199.197,32128997,16064498,72m,10,6,9g,8,2,16g,snappy,46k,22k,22k,72m,0.4,0.3,42m,org.apache.spark.serializer.KryoSerializer,108k,0.3,500,8,0.9,284m,0.8
ScalaSparkTerasort,2023-04-17,03:00:45,6400000000,176.874,36183950,18091975,82m,12,4,10g,8,2,16g,lzf,118k,108k,28k,48m,0.8,0.5,54m,org.apache.spark.serializer.KryoSerializer,122k,0.1,250,8,0.8,220m,0.5
ScalaSparkTerasort,2023-04-17,03:17:33,6400000000,168.215,38046547,19023273,50m,8,6,15g,8,2,16g,lzf,92k,118k,78k,8m,0.3,0.1,92m,org.apache.spark.serializer.JavaSerializer,18k,0.2,550,8,0.5,54m,0.8
ScalaSparkTerasort,2023-04-17,03:43:28,6400000000,146.614,43652038,21826019,68m,10,4,6g,8,2,16g,lzf,100k,38k,48k,64m,0.1,0.4,10m,org.apache.spark.serializer.KryoSerializer,82k,0.5,150,8,0.4,194m,0.6
ScalaSparkTerasort,2023-04-17,03:57:46,6400000000,157.906,40530442,20265221,16m,14,3,6g,2,8,4g,lzf,126k,88k,84k,36m,0.7,0.4,90m,org.apache.spark.serializer.KryoSerializer,12k,0.1,100,8,0.3,442m,0.8
ScalaSparkTerasort,2023-04-17,04:12:23,6400000000,167.142,38290794,19145397,66m,12,6,10g,2,8,4g,snappy,44k,70k,74k,96m,0.6,0.5,40m,org.apache.spark.serializer.KryoSerializer,26k,0.4,550,8,0.3,94m,0.6
ScalaSparkTerasort,2023-04-17,04:26:14,6400000000,158.366,40412714,20206357,26m,12,4,16g,2,8,4g,snappy,42k,32k,34k,36m,0.9,0.5,126m,org.apache.spark.serializer.JavaSerializer,98k,0.9,300,8,0.1,226m,0.3
ScalaSparkTerasort,2023-04-17,04:40:08,6400000000,171.78,37256956,18628478,18m,16,8,9g,4,4,8g,lz4,94k,38k,42k,80m,0.6,0.7,20m,org.apache.spark.serializer.JavaSerializer,68k,0.3,50,8,0.1,148m,0.3
ScalaSparkTerasort,2023-04-17,04:58:38,6400000000,158.491,40380841,20190420,10m,14,8,13g,4,4,8g,lz4,28k,8k,112k,68m,0.2,0.5,44m,org.apache.spark.serializer.JavaSerializer,106k,0.4,250,8,0.2,328m,0.1
