Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkNWeight,2023-04-20,02:49:01,199713981,119.381,1672912,836456,126m,4,1,16g,2,8,4g,snappy,115k,18k,120k,57m,0.57,0.32,121m,org.apache.spark.serializer.KryoSerializer,73k,0.15,756,0.11,388m,0.18
ScalaSparkNWeight,2023-04-20,03:08:39,199713981,327.82,609218,304609,106m,7,1,16g,8,2,16g,lzf,56k,14k,48k,108m,0.1,0.17,38m,org.apache.spark.serializer.JavaSerializer,14k,0.9,124,0.86,303m,0.79
ScalaSparkNWeight,2023-04-20,03:20:13,199713981,133.823,1492374,746187,127m,11,1,16g,4,4,8g,lzf,96k,128k,114k,81m,0.41,0.62,41m,org.apache.spark.serializer.KryoSerializer,75k,0.35,419,0.14,468m,0.82
ScalaSparkNWeight,2023-04-20,03:31:29,199713981,134.685,1482822,741411,15m,2,1,16g,2,8,4g,lz4,58k,49k,59k,116m,0.79,0.17,96m,org.apache.spark.serializer.KryoSerializer,68k,0.69,279,0.59,150m,0.56
ScalaSparkNWeight,2023-04-20,03:43:10,199713981,130.938,1525256,762628,82m,15,1,16g,4,4,8g,lzf,18k,36k,126k,29m,0.4,0.85,24m,org.apache.spark.serializer.JavaSerializer,98k,0.4,231,0.55,123m,0.46
ScalaSparkNWeight,2023-04-20,03:54:18,199713981,151.78,1315812,657906,15m,6,1,16g,2,8,4g,snappy,92k,83k,37k,104m,0.36,0.19,127m,org.apache.spark.serializer.JavaSerializer,2k,0.15,641,0.46,299m,0.37
ScalaSparkNWeight,2023-04-20,04:12:06,199713981,240.986,828736,414368,63m,15,1,16g,8,2,16g,lzf,50k,7k,128k,13m,0.12,0.85,85m,org.apache.spark.serializer.KryoSerializer,17k,0.23,96,0.56,383m,0.67
ScalaSparkNWeight,2023-04-20,04:26:01,199713981,152.218,1312026,656013,96m,16,1,16g,2,8,4g,snappy,127k,48k,21k,9m,0.37,0.44,30m,org.apache.spark.serializer.KryoSerializer,99k,0.2,139,0.31,268m,0.67
ScalaSparkNWeight,2023-04-20,04:39:06,199713981,118.77,1681518,840759,75m,9,1,16g,2,8,4g,lz4,94k,8k,55k,26m,0.57,0.13,102m,org.apache.spark.serializer.KryoSerializer,20k,0.88,758,0.51,60m,0.5
ScalaSparkNWeight,2023-04-20,04:49:41,199713981,115.881,1723440,861720,67m,3,1,16g,8,2,16g,lz4,83k,126k,99k,65m,0.46,0.38,42m,org.apache.spark.serializer.KryoSerializer,79k,0.81,333,0.33,305m,0.13
