Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-20,02:54:04,4800000000,127.776,37565740,18782870,126m,4,1,16g,2,8,4g,snappy,115k,18k,120k,57m,0.57,0.32,121m,org.apache.spark.serializer.KryoSerializer,73k,0.15,756,0.11,388m,0.18
ScalaSparkTerasort,2023-04-20,03:13:36,4800000000,106.736,44970769,22485384,106m,7,1,16g,8,2,16g,lzf,56k,14k,48k,108m,0.1,0.17,38m,org.apache.spark.serializer.JavaSerializer,14k,0.9,124,0.86,303m,0.79
ScalaSparkTerasort,2023-04-20,03:24:46,4800000000,118.02,40671072,20335536,127m,11,1,16g,4,4,8g,lzf,96k,128k,114k,81m,0.41,0.62,41m,org.apache.spark.serializer.KryoSerializer,75k,0.35,419,0.14,468m,0.82
ScalaSparkTerasort,2023-04-20,03:36:33,4800000000,119.138,40289412,20144706,15m,2,1,16g,2,8,4g,lz4,58k,49k,59k,116m,0.79,0.17,96m,org.apache.spark.serializer.KryoSerializer,68k,0.69,279,0.59,150m,0.56
ScalaSparkTerasort,2023-04-20,03:47:14,4800000000,114.886,41780547,20890273,82m,15,1,16g,4,4,8g,lzf,18k,36k,126k,29m,0.4,0.85,24m,org.apache.spark.serializer.JavaSerializer,98k,0.4,231,0.55,123m,0.46
ScalaSparkTerasort,2023-04-20,03:59:34,4800000000,124.744,38478804,19239402,15m,6,1,16g,2,8,4g,snappy,92k,83k,37k,104m,0.36,0.19,127m,org.apache.spark.serializer.JavaSerializer,2k,0.15,641,0.46,299m,0.37
ScalaSparkTerasort,2023-04-20,04:18:23,4800000000,118.339,40561437,20280718,63m,15,1,16g,8,2,16g,lzf,50k,7k,128k,13m,0.12,0.85,85m,org.apache.spark.serializer.KryoSerializer,17k,0.23,96,0.56,383m,0.67
ScalaSparkTerasort,2023-04-20,04:32:29,4800000000,130.065,36904624,18452312,96m,16,1,16g,2,8,4g,snappy,127k,48k,21k,9m,0.37,0.44,30m,org.apache.spark.serializer.KryoSerializer,99k,0.2,139,0.31,268m,0.67
ScalaSparkTerasort,2023-04-20,04:43:19,4800000000,120.323,39892622,19946311,75m,9,1,16g,2,8,4g,lz4,94k,8k,55k,26m,0.57,0.13,102m,org.apache.spark.serializer.KryoSerializer,20k,0.88,758,0.51,60m,0.5
ScalaSparkTerasort,2023-04-20,04:54:23,4800000000,125.58,38222646,19111323,67m,3,1,16g,8,2,16g,lz4,83k,126k,99k,65m,0.46,0.38,42m,org.apache.spark.serializer.KryoSerializer,79k,0.81,333,0.33,305m,0.13
ScalaSparkTerasort,2023-04-20,05:05:02,4800000000,117.852,40729049,20364524,111m,16,1,16g,2,8,4g,snappy,25k,27k,27k,99m,0.64,0.61,109m,org.apache.spark.serializer.JavaSerializer,89k,0.89,310,0.72,369m,0.5
ScalaSparkTerasort,2023-04-20,05:16:48,4800000000,131.155,36597918,18298959,92m,3,1,16g,8,2,16g,lzf,109k,79k,65k,62m,0.57,0.62,88m,org.apache.spark.serializer.KryoSerializer,6k,0.16,355,0.5,44m,0.14
ScalaSparkTerasort,2023-04-20,05:35:13,4800000000,110.062,43611782,21805891,58m,15,1,16g,8,2,16g,lzf,117k,75k,84k,99m,0.12,0.65,108m,org.apache.spark.serializer.JavaSerializer,99k,0.41,131,0.42,336m,0.52
ScalaSparkTerasort,2023-04-20,05:45:57,4800000000,126.743,37871914,18935957,121m,14,1,16g,2,8,4g,lz4,38k,119k,103k,53m,0.54,0.68,38m,org.apache.spark.serializer.KryoSerializer,102k,0.68,414,0.11,462m,0.11
ScalaSparkTerasort,2023-04-20,06:05:19,4800000000,112.108,42815856,21407928,34m,2,1,16g,8,2,16g,lzf,93k,95k,27k,5m,0.14,0.55,48m,org.apache.spark.serializer.JavaSerializer,128k,0.62,546,0.38,155m,0.77
ScalaSparkTerasort,2023-04-20,06:15:51,4800000000,134.767,35617027,17808513,111m,16,1,16g,8,2,16g,snappy,105k,95k,63k,54m,0.78,0.34,30m,org.apache.spark.serializer.JavaSerializer,31k,0.76,79,0.75,67m,0.3
ScalaSparkTerasort,2023-04-20,06:31:49,4800000000,117.847,40730778,20365389,41m,2,1,16g,8,2,16g,lz4,33k,32k,91k,66m,0.21,0.72,33m,org.apache.spark.serializer.JavaSerializer,123k,0.35,760,0.52,23m,0.19
ScalaSparkTerasort,2023-04-20,06:42:42,4800000000,118.223,40601236,20300618,107m,16,1,16g,2,8,4g,snappy,74k,90k,81k,25m,0.79,0.84,100m,org.apache.spark.serializer.KryoSerializer,40k,0.6,777,0.12,464m,0.8
ScalaSparkTerasort,2023-04-20,06:54:29,4800000000,142.316,33727760,16863880,65m,13,1,16g,8,2,16g,lzf,33k,9k,49k,118m,0.4,0.27,63m,org.apache.spark.serializer.KryoSerializer,86k,0.47,741,0.2,166m,0.15
ScalaSparkTerasort,2023-04-20,07:05:21,4800000000,120.147,39951059,19975529,77m,12,1,16g,2,8,4g,lzf,96k,17k,13k,41m,0.79,0.13,47m,org.apache.spark.serializer.JavaSerializer,98k,0.53,312,0.22,73m,0.87
ScalaSparkTerasort,2023-04-20,07:17:31,4800000000,150.995,31789132,15894566,106m,5,1,16g,8,2,16g,lz4,60k,109k,125k,52m,0.35,0.44,69m,org.apache.spark.serializer.JavaSerializer,118k,0.69,307,0.21,266m,0.35
