Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkKmeans,2023-04-20,02:46:57,8032739912,139.402,57622845,28811422,126m,4,1,16g,2,8,4g,snappy,115k,18k,120k,57m,0.57,0.32,121m,org.apache.spark.serializer.KryoSerializer,73k,0.15,756,0.11,388m,0.18
ScalaSparkNWeight,2023-04-20,02:49:01,199713981,119.381,1672912,836456,126m,4,1,16g,2,8,4g,snappy,115k,18k,120k,57m,0.57,0.32,121m,org.apache.spark.serializer.KryoSerializer,73k,0.15,756,0.11,388m,0.18
ScalaSparkPagerank,2023-04-20,02:51:51,395478955,165.327,2392101,1196050,126m,4,1,16g,2,8,4g,snappy,115k,18k,120k,57m,0.57,0.32,121m,org.apache.spark.serializer.KryoSerializer,73k,0.15,756,0.11,388m,0.18
ScalaSparkTerasort,2023-04-20,02:54:04,4800000000,127.776,37565740,18782870,126m,4,1,16g,2,8,4g,snappy,115k,18k,120k,57m,0.57,0.32,121m,org.apache.spark.serializer.KryoSerializer,73k,0.15,756,0.11,388m,0.18
ScalaSparkWordcount,2023-04-20,02:56:18,16424630786,129.600,126733262,63366631,126m,4,1,16g,2,8,4g,snappy,115k,18k,120k,57m,0.57,0.32,121m,org.apache.spark.serializer.KryoSerializer,73k,0.15,756,0.11,388m,0.18
ScalaSparkKmeans,2023-04-20,03:03:06,8032739912,402.421,19961035,9980517,106m,7,1,16g,8,2,16g,lzf,56k,14k,48k,108m,0.10,0.17,38m,org.apache.spark.serializer.JavaSerializer,14k,0.90,124,0.86,303m,0.79
ScalaSparkNWeight,2023-04-20,03:08:39,199713981,327.820,609218,304609,106m,7,1,16g,8,2,16g,lzf,56k,14k,48k,108m,0.10,0.17,38m,org.apache.spark.serializer.JavaSerializer,14k,0.90,124,0.86,303m,0.79
ScalaSparkPagerank,2023-04-20,03:11:45,395478955,181.577,2178023,1089011,106m,7,1,16g,8,2,16g,lzf,56k,14k,48k,108m,0.10,0.17,38m,org.apache.spark.serializer.JavaSerializer,14k,0.90,124,0.86,303m,0.79
ScalaSparkTerasort,2023-04-20,03:13:36,4800000000,106.736,44970769,22485384,106m,7,1,16g,8,2,16g,lzf,56k,14k,48k,108m,0.10,0.17,38m,org.apache.spark.serializer.JavaSerializer,14k,0.90,124,0.86,303m,0.79
ScalaSparkWordcount,2023-04-20,03:15:42,16424630786,120.662,136120989,68060494,106m,7,1,16g,8,2,16g,lzf,56k,14k,48k,108m,0.10,0.17,38m,org.apache.spark.serializer.JavaSerializer,14k,0.90,124,0.86,303m,0.79
ScalaSparkKmeans,2023-04-20,03:17:55,8032739912,127.116,63192201,31596100,127m,11,1,16g,4,4,8g,lzf,96k,128k,114k,81m,0.41,0.62,41m,org.apache.spark.serializer.KryoSerializer,75k,0.35,419,0.14,468m,0.82
ScalaSparkNWeight,2023-04-20,03:20:13,199713981,133.823,1492374,746187,127m,11,1,16g,4,4,8g,lzf,96k,128k,114k,81m,0.41,0.62,41m,org.apache.spark.serializer.KryoSerializer,75k,0.35,419,0.14,468m,0.82
ScalaSparkPagerank,2023-04-20,03:22:43,395478955,145.425,2719470,1359735,127m,11,1,16g,4,4,8g,lzf,96k,128k,114k,81m,0.41,0.62,41m,org.apache.spark.serializer.KryoSerializer,75k,0.35,419,0.14,468m,0.82
ScalaSparkTerasort,2023-04-20,03:24:46,4800000000,118.020,40671072,20335536,127m,11,1,16g,4,4,8g,lzf,96k,128k,114k,81m,0.41,0.62,41m,org.apache.spark.serializer.KryoSerializer,75k,0.35,419,0.14,468m,0.82
ScalaSparkWordcount,2023-04-20,03:26:48,16424630786,117.693,139554865,69777432,127m,11,1,16g,4,4,8g,lzf,96k,128k,114k,81m,0.41,0.62,41m,org.apache.spark.serializer.KryoSerializer,75k,0.35,419,0.14,468m,0.82
ScalaSparkKmeans,2023-04-20,03:29:10,8032739912,136.071,59033445,29516722,15m,2,1,16g,2,8,4g,lz4,58k,49k,59k,116m,0.79,0.17,96m,org.apache.spark.serializer.KryoSerializer,68k,0.69,279,0.59,150m,0.56
ScalaSparkNWeight,2023-04-20,03:31:29,199713981,134.685,1482822,741411,15m,2,1,16g,2,8,4g,lz4,58k,49k,59k,116m,0.79,0.17,96m,org.apache.spark.serializer.KryoSerializer,68k,0.69,279,0.59,150m,0.56
ScalaSparkPagerank,2023-04-20,03:34:29,395478955,174.698,2263786,1131893,15m,2,1,16g,2,8,4g,lz4,58k,49k,59k,116m,0.79,0.17,96m,org.apache.spark.serializer.KryoSerializer,68k,0.69,279,0.59,150m,0.56
