Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkWordcount,2023-04-17,07:54:09,32849099628,201.551,162981576,81490788,118m,9,1,16g,4,4,8g,lzf,52k,20k,123k,68m,0.34,0.85,95m,org.apache.spark.serializer.JavaSerializer,63k,0.51,71,0.84,301m,0.78
ScalaSparkWordcount,2023-04-17,08:33:11,32849099628,208.258,157732714,78866357,17m,16,1,16g,2,8,4g,lzf,34k,25k,29k,30m,0.18,0.17,24m,org.apache.spark.serializer.KryoSerializer,65k,0.32,297,0.76,429m,0.39
ScalaSparkWordcount,2023-04-17,08:49:58,32849099628,198.942,165118977,82559488,94m,4,1,16g,4,4,8g,lz4,93k,12k,33k,122m,0.28,0.5,100m,org.apache.spark.serializer.JavaSerializer,54k,0.49,151,0.22,188m,0.3
ScalaSparkWordcount,2023-04-17,09:04:32,32849099628,209.486,156808090,78404045,44m,10,1,16g,2,8,4g,lzf,11k,17k,89k,31m,0.59,0.34,69m,org.apache.spark.serializer.KryoSerializer,25k,0.51,665,0.62,36m,0.54
ScalaSparkWordcount,2023-04-17,09:18:24,32849099628,194.488,168900392,84450196,126m,11,1,16g,8,2,16g,lz4,52k,66k,51k,82m,0.78,0.33,35m,org.apache.spark.serializer.JavaSerializer,20k,0.21,135,0.9,335m,0.37
ScalaSparkWordcount,2023-04-17,09:33:57,32849099628,200.853,163547966,81773983,66m,12,1,16g,4,4,8g,snappy,36k,2k,36k,93m,0.32,0.85,124m,org.apache.spark.serializer.KryoSerializer,45k,0.53,496,0.21,483m,0.71
ScalaSparkWordcount,2023-04-17,09:56:12,32849099628,202.53,162193747,81096873,112m,6,1,16g,8,2,16g,lzf,124k,17k,43k,109m,0.19,0.66,108m,org.apache.spark.serializer.KryoSerializer,24k,0.63,63,0.74,439m,0.39
ScalaSparkWordcount,2023-04-17,10:10:52,32849099628,196.256,167378829,83689414,57m,5,1,16g,8,2,16g,snappy,96k,126k,43k,124m,0.69,0.36,83m,org.apache.spark.serializer.KryoSerializer,98k,0.38,523,0.33,112m,0.84
ScalaSparkWordcount,2023-04-17,10:24:39,32849099628,199.662,164523542,82261771,103m,16,1,16g,4,4,8g,lzf,71k,118k,109k,106m,0.82,0.37,27m,org.apache.spark.serializer.JavaSerializer,63k,0.64,309,0.69,383m,0.38
ScalaSparkWordcount,2023-04-17,10:39:09,32849099628,208.696,157401673,78700836,13m,10,1,16g,2,8,4g,snappy,16k,102k,14k,127m,0.65,0.53,22m,org.apache.spark.serializer.KryoSerializer,45k,0.54,156,0.46,306m,0.48
ScalaSparkWordcount,2023-04-17,10:58:45,32849099628,197.068,166689161,83344580,49m,7,1,16g,8,2,16g,lzf,60k,99k,118k,110m,0.23,0.32,37m,org.apache.spark.serializer.KryoSerializer,40k,0.17,563,0.87,384m,0.37
ScalaSparkWordcount,2023-04-17,11:12:48,32849099628,196.989,166756009,83378004,90m,16,1,16g,8,2,16g,lzf,45k,61k,41k,104m,0.49,0.25,90m,org.apache.spark.serializer.JavaSerializer,100k,0.41,589,0.57,446m,0.49
ScalaSparkWordcount,2023-04-17,11:26:22,32849099628,198.858,165188725,82594362,125m,14,1,16g,4,4,8g,lzf,117k,69k,126k,90m,0.61,0.44,27m,org.apache.spark.serializer.JavaSerializer,61k,0.49,457,0.89,122m,0.73
ScalaSparkWordcount,2023-04-17,11:40:50,32849099628,195.846,167729234,83864617,127m,15,1,16g,8,2,16g,lzf,86k,122k,30k,13m,0.47,0.64,36m,org.apache.spark.serializer.JavaSerializer,32k,0.51,77,0.22,449m,0.89
ScalaSparkWordcount,2023-04-17,11:54:52,32849099628,209.313,156937694,78468847,102m,12,1,16g,2,8,4g,lz4,108k,125k,71k,36m,0.66,0.36,3m,org.apache.spark.serializer.JavaSerializer,80k,0.26,255,0.84,171m,0.38
ScalaSparkWordcount,2023-04-17,12:12:53,32849099628,196.516,167157379,83578689,21m,2,1,16g,8,2,16g,lzf,116k,71k,95k,11m,0.32,0.2,37m,org.apache.spark.serializer.KryoSerializer,94k,0.17,319,0.24,207m,0.76
ScalaSparkWordcount,2023-04-17,12:28:06,32849099628,209.495,156801353,78400676,93m,10,1,16g,2,8,4g,lzf,40k,71k,120k,99m,0.36,0.77,51m,org.apache.spark.serializer.JavaSerializer,92k,0.4,747,0.11,21m,0.59
ScalaSparkWordcount,2023-04-17,12:42:36,32849099628,208.337,157672903,78836451,110m,6,1,16g,2,8,4g,lzf,88k,53k,95k,124m,0.58,0.52,22m,org.apache.spark.serializer.JavaSerializer,3k,0.32,308,0.69,146m,0.51
ScalaSparkWordcount,2023-04-17,12:57:05,32849099628,210.845,155797384,77898692,38m,4,1,16g,2,8,4g,snappy,96k,81k,43k,33m,0.83,0.34,5m,org.apache.spark.serializer.JavaSerializer,118k,0.76,371,0.5,330m,0.13
ScalaSparkWordcount,2023-04-17,13:38:47,32849099628,207.939,157974692,78987346,10m,6,1,16g,2,8,4g,lz4,108k,38k,20k,94m,0.13,0.37,63m,org.apache.spark.serializer.KryoSerializer,101k,0.61,290,0.56,429m,0.48
ScalaSparkWordcount,2023-04-17,14:03:43,32849099628,196.751,166957726,83478863,126m,15,1,16g,8,2,16g,snappy,60k,85k,66k,112m,0.11,0.33,59m,org.apache.spark.serializer.KryoSerializer,100k,0.75,674,0.78,139m,0.33
ScalaSparkWordcount,2023-04-17,14:18:41,32849099628,197.382,166423988,83211994,95m,4,1,16g,8,2,16g,lzf,113k,85k,122k,5m,0.61,0.34,65m,org.apache.spark.serializer.KryoSerializer,35k,0.1,121,0.19,333m,0.43
ScalaSparkWordcount,2023-04-17,14:33:19,32849099628,195.874,167705257,83852628,16m,4,1,16g,8,2,16g,lzf,33k,19k,86k,58m,0.81,0.9,41m,org.apache.spark.serializer.JavaSerializer,48k,0.44,468,0.74,476m,0.83
ScalaSparkWordcount,2023-04-17,14:47:50,32849099628,208.453,157585161,78792580,37m,8,1,16g,2,8,4g,lz4,59k,86k,112k,29m,0.47,0.44,46m,org.apache.spark.serializer.JavaSerializer,31k,0.75,96,0.66,347m,0.88
ScalaSparkWordcount,2023-04-17,15:31:11,32849099628,199.397,164742195,82371097,43m,7,1,16g,4,4,8g,lz4,56k,57k,121k,5m,0.11,0.81,66m,org.apache.spark.serializer.JavaSerializer,114k,0.26,187,0.85,109m,0.31
ScalaSparkWordcount,2023-04-17,15:48:01,32849099628,208.784,157335330,78667665,32m,13,1,16g,2,8,4g,snappy,92k,23k,55k,93m,0.33,0.74,120m,org.apache.spark.serializer.KryoSerializer,74k,0.22,451,0.13,136m,0.53
ScalaSparkWordcount,2023-04-17,16:03:27,32849099628,196.17,167452207,83726103,41m,15,1,16g,8,2,16g,snappy,27k,101k,8k,73m,0.34,0.45,124m,org.apache.spark.serializer.JavaSerializer,86k,0.29,590,0.12,451m,0.76
ScalaSparkWordcount,2023-04-17,16:43:21,32849099628,207.093,158620038,79310019,35m,3,1,16g,2,8,4g,lz4,46k,59k,97k,4m,0.18,0.13,60m,org.apache.spark.serializer.KryoSerializer,33k,0.51,191,0.4,434m,0.49
ScalaSparkWordcount,2023-04-17,17:03:15,32849099628,194.179,169169166,84584583,90m,5,1,16g,8,2,16g,lz4,35k,85k,88k,16m,0.2,0.17,113m,org.apache.spark.serializer.JavaSerializer,61k,0.35,766,0.86,228m,0.12
ScalaSparkWordcount,2023-04-17,17:17:49,32849099628,195.544,167988276,83994138,128m,7,1,16g,8,2,16g,lzf,54k,29k,20k,37m,0.48,0.81,98m,org.apache.spark.serializer.KryoSerializer,91k,0.8,321,0.21,125m,0.86
ScalaSparkWordcount,2023-04-17,17:32:22,32849099628,207.724,158138200,79069100,110m,11,1,16g,2,8,4g,snappy,7k,21k,125k,101m,0.45,0.47,92m,org.apache.spark.serializer.JavaSerializer,38k,0.73,534,0.21,17m,0.39
ScalaSparkWordcount,2023-04-17,17:45:55,32849099628,196.54,167136967,83568483,118m,14,1,16g,8,2,16g,snappy,102k,109k,38k,45m,0.78,0.54,24m,org.apache.spark.serializer.JavaSerializer,84k,0.48,480,0.89,91m,0.25
ScalaSparkWordcount,2023-04-17,18:02:18,32849099628,198.484,165499988,82749994,124m,9,1,16g,8,2,16g,lzf,7k,49k,3k,106m,0.32,0.13,124m,org.apache.spark.serializer.KryoSerializer,100k,0.89,351,0.82,8m,0.83
ScalaSparkWordcount,2023-04-17,18:15:50,32849099628,196.414,167244186,83622093,126m,13,1,16g,8,2,16g,lz4,63k,108k,14k,116m,0.58,0.4,83m,org.apache.spark.serializer.KryoSerializer,20k,0.49,88,0.17,473m,0.9
ScalaSparkWordcount,2023-04-17,18:31:45,32849099628,208.482,157563241,78781620,118m,6,1,16g,2,8,4g,lzf,105k,69k,83k,24m,0.36,0.83,22m,org.apache.spark.serializer.JavaSerializer,71k,0.56,302,0.79,487m,0.33
ScalaSparkWordcount,2023-04-17,18:46:04,32849099628,199.435,164710806,82355403,81m,14,1,16g,4,4,8g,snappy,5k,4k,84k,25m,0.39,0.15,121m,org.apache.spark.serializer.JavaSerializer,67k,0.32,152,0.85,328m,0.87
ScalaSparkWordcount,2023-04-17,19:01:03,32849099628,199.343,164786822,82393411,68m,15,1,16g,8,2,16g,snappy,74k,84k,2k,86m,0.47,0.55,3m,org.apache.spark.serializer.KryoSerializer,30k,0.69,504,0.74,215m,0.25
