Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkWordcount,2023-04-03,16:04:17,9854770076,85.186,115685324,57842662,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkTerasort,2023-04-03,16:05:47,3200000000,84.981,37655475,18827737,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkKmeans,2023-04-03,16:07:16,4016371652,84.381,47598057,23799028,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkPagerank,2023-04-03,16:09:29,259947887,128.899,2016678,1008339,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkNWeight,2023-04-03,16:11:31,163190010,117.422,1389773,694886,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkWordcount,2023-04-03,16:12:54,9854770076,78.156,126091024,63045512,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkTerasort,2023-04-03,16:14:26,3200000000,87.700,36488027,18244013,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkKmeans,2023-04-03,16:15:55,4016371652,84.034,47794602,23897301,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkPagerank,2023-04-03,16:18:04,259947887,124.660,2085254,1042627,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
ScalaSparkNWeight,2023-04-03,16:19:53,163190010,104.595,1560208,780104,29m,4,16g,8,2,16g,lz4,88k,61k,11k,4m,0.41,0.89,47m,org.apache.spark.serializer.JavaSerializer,48k,0.28,797,0.3,46m,0.22
