Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkWordcount,2023-04-03,09:29:38,9854770076,75.583,130383420,65191710,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkTerasort,2023-04-03,09:30:54,3200000000,71.269,44900307,22450153,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkKmeans,2023-04-03,09:32:19,4016371652,79.768,50350662,25175331,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkPagerank,2023-04-03,09:34:02,259947887,98.145,2648610,1324305,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkNWeight,2023-04-03,09:35:50,163190010,104.029,1568697,784348,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkWordcount,2023-04-03,09:37:15,9854770076,79.973,123226214,61613107,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkTerasort,2023-04-03,09:38:38,3200000000,78.335,40850194,20425097,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkKmeans,2023-04-03,09:40:03,4016371652,79.648,50426522,25213261,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkPagerank,2023-04-03,09:41:44,259947887,96.300,2699355,1349677,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
ScalaSparkNWeight,2023-04-03,09:43:28,163190010,100.076,1630660,815330,49m,13,16g,8,2,16g,lz4,40k,14k,84k,7m,0.43,0.42,97m,org.apache.spark.serializer.KryoSerializer,32k,0.3,697,0.62,117m,0.38
