Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkWordcount,2023-04-03,17:42:32,9854770076,81.979,120210908,60105454,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkTerasort,2023-04-03,17:43:51,3200000000,74.088,43191879,21595939,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkKmeans,2023-04-03,17:45:11,4016371652,76.197,52710364,26355182,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkPagerank,2023-04-03,17:46:58,259947887,102.046,2547359,1273679,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkNWeight,2023-04-03,17:48:44,163190010,102.072,1598773,799386,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkWordcount,2023-04-03,17:49:58,9854770076,68.947,142932543,71466271,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkTerasort,2023-04-03,17:51:17,3200000000,75.271,42513052,21256526,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkKmeans,2023-04-03,17:52:37,4016371652,74.790,53701987,26850993,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkPagerank,2023-04-03,17:54:17,259947887,95.603,2719034,1359517,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkNWeight,2023-04-03,17:56:01,163190010,100.001,1631883,815941,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkWordcount,2023-04-03,17:57:15,9854770076,69.696,141396494,70698247,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkTerasort,2023-04-03,17:58:38,3200000000,78.380,40826741,20413370,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkKmeans,2023-04-03,18:00:00,4016371652,77.366,51913911,25956955,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkPagerank,2023-04-03,18:01:45,259947887,100.912,2575985,1287992,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkNWeight,2023-04-03,18:03:31,163190010,101.266,1611498,805749,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkWordcount,2023-04-03,18:04:54,9854770076,78.524,125500102,62750051,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkTerasort,2023-04-03,18:06:16,3200000000,78.191,40925426,20462713,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkKmeans,2023-04-03,18:07:38,4016371652,76.790,52303316,26151658,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkPagerank,2023-04-03,18:09:25,259947887,102.555,2534716,1267358,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkNWeight,2023-04-03,18:11:20,163190010,111.349,1465572,732786,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkWordcount,2023-04-03,18:12:46,9854770076,81.453,120987196,60493598,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkTerasort,2023-04-03,18:14:06,3200000000,74.959,42690003,21345001,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkKmeans,2023-04-03,18:15:31,4016371652,81.234,49442002,24721001,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkPagerank,2023-04-03,18:17:14,259947887,98.417,2641290,1320645,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkNWeight,2023-04-03,18:18:59,163190010,100.402,1625366,812683,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkWordcount,2023-04-03,18:20:15,9854770076,71.764,137321917,68660958,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkTerasort,2023-04-03,18:21:35,3200000000,75.512,42377370,21188685,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkKmeans,2023-04-03,18:22:59,4016371652,78.986,50849158,25424579,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkPagerank,2023-04-03,18:24:42,259947887,98.925,2627726,1313863,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkNWeight,2023-04-03,18:26:39,163190010,112.522,1450294,725147,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkWordcount,2023-04-03,18:27:57,9854770076,73.239,134556316,67278158,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkTerasort,2023-04-03,18:29:22,3200000000,80.983,39514465,19757232,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkKmeans,2023-04-03,18:30:44,4016371652,76.854,52259760,26129880,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkPagerank,2023-04-03,18:32:27,259947887,99.190,2620706,1310353,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkNWeight,2023-04-03,18:34:20,163190010,107.742,1514636,757318,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
ScalaSparkWordcount,2023-04-03,18:35:44,9854770076,79.837,123436127,61718063,91m,15,16g,8,2,16g,snappy,39k,99k,26k,33m,0.4,0.32,100m,org.apache.spark.serializer.JavaSerializer,124k,0.42,174,0.66,312m,0.51
