Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkWordcount,2023-04-04,01:43:34,9854770076,75.313,130850850,65425425,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkTerasort,2023-04-04,01:44:48,3200000000,69.656,45940048,22970024,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkKmeans,2023-04-04,01:46:08,4016371652,75.457,53227290,26613645,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkPagerank,2023-04-04,01:48:27,259947887,134.325,1935215,967607,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkNWeight,2023-04-04,01:50:15,163190010,103.376,1578606,789303,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkWordcount,2023-04-04,01:51:45,9854770076,84.491,116636920,58318460,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkTerasort,2023-04-04,01:53:10,3200000000,80.709,39648614,19824307,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkKmeans,2023-04-04,01:54:36,4016371652,81.869,49058516,24529258,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkPagerank,2023-04-04,01:56:54,259947887,133.274,1950477,975238,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkNWeight,2023-04-04,01:58:40,163190010,100.894,1617440,808720,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkWordcount,2023-04-04,02:00:04,9854770076,79.747,123575433,61787716,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkTerasort,2023-04-04,02:01:22,3200000000,73.064,43797218,21898609,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkKmeans,2023-04-04,02:02:51,4016371652,84.248,47673198,23836599,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkPagerank,2023-04-04,02:05:12,259947887,136.174,1908939,954469,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkNWeight,2023-04-04,02:07:01,163190010,104.602,1560104,780052,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkWordcount,2023-04-04,02:08:29,9854770076,83.225,118411175,59205587,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkTerasort,2023-04-04,02:09:58,3200000000,84.595,37827294,18913647,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkKmeans,2023-04-04,02:11:18,4016371652,75.379,53282368,26641184,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkPagerank,2023-04-04,02:13:38,259947887,135.113,1923929,961964,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkNWeight,2023-04-04,02:15:24,163190010,101.988,1600090,800045,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkWordcount,2023-04-04,02:16:48,9854770076,79.387,124135816,62067908,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkTerasort,2023-04-04,02:18:13,3200000000,80.213,39893782,19946891,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkKmeans,2023-04-04,02:19:39,4016371652,80.961,49608720,24804360,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkPagerank,2023-04-04,02:21:58,259947887,134.569,1931707,965853,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkNWeight,2023-04-04,02:23:44,163190010,101.201,1612533,806266,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkWordcount,2023-04-04,02:25:05,9854770076,76.483,128849157,64424578,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkTerasort,2023-04-04,02:26:27,3200000000,77.476,41303113,20651556,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkKmeans,2023-04-04,02:27:46,4016371652,74.488,53919713,26959856,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkPagerank,2023-04-04,02:30:13,259947887,141.669,1834896,917448,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkNWeight,2023-04-04,02:31:55,163190010,97.957,1665935,832967,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkWordcount,2023-04-04,02:33:14,9854770076,73.940,133280633,66640316,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkTerasort,2023-04-04,02:34:38,3200000000,79.456,40273862,20136931,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkKmeans,2023-04-04,02:35:57,4016371652,74.305,54052508,27026254,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkPagerank,2023-04-04,02:38:19,259947887,137.540,1889980,944990,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkNWeight,2023-04-04,02:40:02,163190010,98.049,1664371,832185,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkWordcount,2023-04-04,02:41:25,9854770076,77.964,126401545,63200772,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkTerasort,2023-04-04,02:42:57,3200000000,86.218,37115219,18557609,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkKmeans,2023-04-04,02:44:23,4016371652,82.205,48857997,24428998,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
ScalaSparkPagerank,2023-04-04,02:46:41,259947887,132.608,1960273,980136,38m,2,16g,8,2,16g,lz4,100k,117k,108k,47m,0.66,0.84,95m,org.apache.spark.serializer.JavaSerializer,37k,0.79,50,0.46,288m,0.88
